Centrality_Metric,Removal_Percentage,Algorithm,Modularity,Execution_Time
Degree,0.0,Louvain,0.4276718952043627,0.0013651847839355469
Degree,0.0,Girvan-Newman,0.3476602762317048,0.018716812133789062
Degree,5.0,Louvain,0.4564035952103676,0.0009329319000244141
Degree,5.0,Girvan-Newman,0.37833318403057725,0.008928537368774414
Degree,10.0,Louvain,0.5735596707818931,0.0007829666137695312
Degree,10.0,Girvan-Newman,0.5735596707818931,0.0014307498931884766
Degree,15.0,Louvain,0.6541950113378684,0.0008006095886230469
Degree,15.0,Girvan-Newman,0.6541950113378684,0.00045609474182128906
Degree,20.0,Louvain,0.5663580246913581,0.0008172988891601562
Degree,20.0,Girvan-Newman,0.5663580246913581,0.0005166530609130859
Closeness,0.0,Louvain,0.4276718952043627,0.0010013580322265625
Closeness,0.0,Girvan-Newman,0.3476602762317048,0.017471790313720703
Closeness,5.0,Louvain,0.44534027602810666,0.0009050369262695312
Closeness,5.0,Girvan-Newman,0.33996808599983197,0.009192228317260742
Closeness,10.0,Louvain,0.613986999765056,0.0011210441589355469
Closeness,10.0,Girvan-Newman,0.5453833503015115,0.0010228157043457031
Closeness,15.0,Louvain,0.6316162570888468,0.0007526874542236328
Closeness,15.0,Girvan-Newman,0.5983577504725898,0.0009000301361083984
Closeness,20.0,Louvain,0.6215986394557823,0.0008141994476318359
Closeness,20.0,Girvan-Newman,0.5794359410430838,0.0010836124420166016
Betweenness,0.0,Louvain,0.4438541256723075,0.0009338855743408203
Betweenness,0.0,Girvan-Newman,0.3476602762317048,0.01712775230407715
Betweenness,5.0,Louvain,0.4647686234987822,0.001107931137084961
Betweenness,5.0,Girvan-Newman,0.33996808599983197,0.00928807258605957
Betweenness,10.0,Louvain,0.5735596707818931,0.0013041496276855469
Betweenness,10.0,Girvan-Newman,0.5735596707818931,0.0016427040100097656
Betweenness,15.0,Louvain,0.6649474310652648,0.0007336139678955078
Betweenness,15.0,Girvan-Newman,0.6649474310652648,0.000743865966796875
Betweenness,20.0,Louvain,0.6570069204152249,0.0008094310760498047
Betweenness,20.0,Girvan-Newman,0.564878892733564,0.0012235641479492188
