Centrality_Metric,Removal_Percentage,Algorithm,Modularity,Execution_Time
Degree,0.0,Louvain,0.44490358126721763,0.0009739398956298828
Degree,0.0,Girvan-Newman,0.3476602762317048,0.01740431785583496
Degree,5.0,Louvain,0.45022246110663205,0.0008227825164794922
Degree,5.0,Girvan-Newman,0.37833318403057725,0.010149717330932617
Degree,10.0,Louvain,0.5735596707818931,0.0007841587066650391
Degree,10.0,Girvan-Newman,0.5735596707818931,0.0015654563903808594
Degree,15.0,Louvain,0.6541950113378684,0.000732421875
Degree,15.0,Girvan-Newman,0.6541950113378684,0.0004584789276123047
Degree,20.0,Louvain,0.5663580246913581,0.0007994174957275391
Degree,20.0,Girvan-Newman,0.5663580246913581,0.0004870891571044922
Closeness,0.0,Louvain,0.4345214669889994,0.0009188652038574219
Closeness,0.0,Girvan-Newman,0.3476602762317048,0.016791105270385742
Closeness,5.0,Louvain,0.4647686234987822,0.0008411407470703125
Closeness,5.0,Girvan-Newman,0.33996808599983197,0.00874185562133789
Closeness,10.0,Louvain,0.613986999765056,0.00095367431640625
Closeness,10.0,Girvan-Newman,0.5453833503015115,0.0010437965393066406
Closeness,15.0,Louvain,0.6316162570888468,0.0007593631744384766
Closeness,15.0,Girvan-Newman,0.5983577504725898,0.0009510517120361328
Closeness,20.0,Louvain,0.6215986394557823,0.0007152557373046875
Closeness,20.0,Girvan-Newman,0.5794359410430838,0.0007736682891845703
Betweenness,0.0,Louvain,0.4345214669889994,0.0009765625
Betweenness,0.0,Girvan-Newman,0.3476602762317048,0.017531394958496094
Betweenness,5.0,Louvain,0.4537946865989193,0.0010097026824951172
Betweenness,5.0,Girvan-Newman,0.33996808599983197,0.008861541748046875
Betweenness,10.0,Louvain,0.5735596707818931,0.0009186267852783203
Betweenness,10.0,Girvan-Newman,0.5735596707818931,0.001512765884399414
Betweenness,15.0,Louvain,0.6649474310652648,0.0008051395416259766
Betweenness,15.0,Girvan-Newman,0.6649474310652648,0.000530242919921875
Betweenness,20.0,Louvain,0.6570069204152249,0.0006930828094482422
Betweenness,20.0,Girvan-Newman,0.564878892733564,0.0010142326354980469
